Antal nya cancerfall, Ålder: 0-85+, Diagnos:191 Tumör i huden, ej malignt melanom, oavsett tumörtyp
År;Region;Ålder;Män;Kvinnor
2015;Örebro län;15­19;0;0
2015;Örebro län;20­24;0;0
2015;Örebro län;25­29;0;1
2015;Örebro län;30­34;0;0
2015;Örebro län;35­39;0;0
2015;Örebro län;40­44;0;1
2015;Örebro län;45­49;1;2
2015;Örebro län;50­54;2;0
2015;Örebro län;55­59;1;3
2015;Örebro län;60­64;8;2
2015;Örebro län;65­69;17;14
2015;Örebro län;70­74;26;20
2015;Örebro län;75­79;29;13
2015;Örebro län;80­84;31;21
2015;Örebro län;85+;39;35
2015;Västmanlands län;0­4;0;0
2015;Västmanlands län;5­9;0;0
2015;Västmanlands län;10­14;0;0
2015;Västmanlands län;15­19;0;0
2015;Västmanlands län;20­24;0;0
2015;Västmanlands län;25­29;0;0
2015;Västmanlands län;30­34;0;0
2015;Västmanlands län;35­39;0;0
2015;Västmanlands län;40­44;0;1
2015;Västmanlands län;45­49;1;1
2015;Västmanlands län;50­54;1;2
2015;Västmanlands län;55­59;1;2
2015;Västmanlands län;60­64;4;3
2015;Västmanlands län;65­69;11;4
2015;Västmanlands län;70­74;16;6
2015;Västmanlands län;75­79;15;6
2015;Västmanlands län;80­84;20;15
2015;Västmanlands län;85+;47;33
2015;Dalarnas län;0­4;0;0
2015;Dalarnas län;5­9;0;0
2015;Dalarnas län;10­14;0;0
2015;Dalarnas län;15­19;0;0
2015;Dalarnas län;20­24;0;0
2015;Dalarnas län;25­29;0;0
2015;Dalarnas län;30­34;0;0
2015;Dalarnas län;35­39;0;0
2015;Dalarnas län;40­44;0;0
2015;Dalarnas län;45­49;0;0
2015;Dalarnas län;50­54;2;1
2015;Dalarnas län;55­59;3;3
2015;Dalarnas län;60­64;3;3
2015;Dalarnas län;65­69;9;8
2015;Dalarnas län;70­74;8;6
2015;Dalarnas län;75­79;19;9
2015;Dalarnas län;80­84;21;13
2015;Dalarnas län;85+;37;26
2015;Gävleborgs län;0­4;0;0
2015;Gävleborgs län;5­9;0;0
2015;Gävleborgs län;10­14;0;0
2015;Gävleborgs län;15­19;0;0
2015;Gävleborgs län;20­24;0;0
2015;Gävleborgs län;25­29;0;1
