"","years","age","counties","cases","sexInd"
"377",2015,"80-84","Västerbotten",355.87,"Men"
"378",2015,"85+","Västerbotten",737.86,"Men"
"379",2015,"0-4","Norrbotten",0,"Men"
"380",2015,"5-9","Norrbotten",0,"Men"
"381",2015,"10-14","Norrbotten",0,"Men"
"382",2015,"15-19","Norrbotten",0,"Men"
"383",2015,"20-24","Norrbotten",0,"Men"
"384",2015,"25-29","Norrbotten",0,"Men"
"385",2015,"30-34","Norrbotten",0,"Men"
"386",2015,"35-39","Norrbotten",0,"Men"
"387",2015,"40-44","Norrbotten",0,"Men"
"388",2015,"45-49","Norrbotten",0,"Men"
"389",2015,"50-54","Norrbotten",0,"Men"
"390",2015,"55-59","Norrbotten",35.3,"Men"
"391",2015,"60-64","Norrbotten",11.56,"Men"
"392",2015,"65-69","Norrbotten",78.73,"Men"
"393",2015,"70-74","Norrbotten",125.71,"Men"
"394",2015,"75-59","Norrbotten",138.57,"Men"
"395",2015,"80-84","Norrbotten",377.36,"Men"
"396",2015,"85+","Norrbotten",505.58,"Men"
"397",2014,"0-4","Sweden",0,"Men"
"398",2014,"5-9","Sweden",0,"Men"
"399",2014,"10-14","Sweden",0.38,"Men"
"400",2014,"15-19","Sweden",0.36,"Men"
"401",2014,"20-24","Sweden",1.45,"Men"
"402",2014,"25-29","Sweden",0.61,"Men"
"403",2014,"30-34","Sweden",0.65,"Men"
"404",2014,"35-39","Sweden",2.27,"Men"
"405",2014,"40-44","Sweden",3.06,"Men"
"406",2014,"45-49","Sweden",6.4,"Men"
"407",2014,"50-54","Sweden",15.49,"Men"
"408",2014,"55-59","Sweden",31.32,"Men"
"409",2014,"60-64","Sweden",69.67,"Men"
"410",2014,"65-69","Sweden",133.09,"Men"
"411",2014,"70-74","Sweden",245.23,"Men"
"412",2014,"75-59","Sweden",513.3,"Men"
"413",2014,"80-84","Sweden",739,"Men"
"414",2014,"85+","Sweden",1289.09,"Men"
"415",2014,"0-4","Stockholm",0,"Men"
"416",2014,"5-9","Stockholm",0,"Men"
"417",2014,"10-14","Stockholm",0,"Men"
"418",2014,"15-19","Stockholm",1.68,"Men"
"419",2014,"20-24","Stockholm",0,"Men"
"420",2014,"25-29","Stockholm",0,"Men"
"421",2014,"30-34","Stockholm",0,"Men"
"422",2014,"35-39","Stockholm",1.23,"Men"
"423",2014,"40-44","Stockholm",2.42,"Men"
"424",2014,"45-49","Stockholm",7.53,"Men"
"425",2014,"50-54","Stockholm",18.55,"Men"
"426",2014,"55-59","Stockholm",41.08,"Men"
"427",2014,"60-64","Stockholm",102.41,"Men"
"428",2014,"65-69","Stockholm",151.01,"Men"
"429",2014,"70-74","Stockholm",282.19,"Men"
"430",2014,"75-59","Stockholm",556.69,"Men"
